LEMMA	FREQ
جادل	1
جاني	1
جدل	1
جديد	1
جزء	1
جزار	1
جسد	1
جسدي	1
جغرافي	1
جلود	1
جماعي	1
جمال	1
جمهور	1
جهاز	1
جهل	1
جيني	1
حاد	1
حارس	1
حاصل	1
حافة	1
حافظ	1
حال	1
حالي	1
حد	1
حدة	1
حرب	1
حرثان	1
حرم	1
حرمان	1
حساس	1
حصل	1
حضرموت	1
حضور	1
حكم	1
حل	1
حلاق	1
حلول	1
حماية	1
حمى	1
حينما	1
خادم	1
خارج	1
خاص	1
خاطئ	1
خاطب	1
خضوع	1
خطة	1
خلف	1
خلل	1
داكن	1
دخل	1
دراسة	1
دراما	1
درك	1
دقيق	1
دلالة	1
دليل	1
دوران	1
دون	1
دونيه	1
ديناميات	1
ذا	1
ذو	1
رؤى	1
رؤية	1
رائد	1
رافض	1
راوند	1
ربط	1
رجع	1
رجل	1
رسالة	1
رغبة	1
رقعة	1
ريا	1
زراع	1
زمان	1
زمني	1
زنج	1
زواج	1
زول	1
زيادة	1
سؤال	1
سائد	1
سابق	1
ساخر	1
ساعي	1
سب	1
سبل	1
سحنة	1
سعيد	1
سكاني	1
سلطة	1
سماح	1
سنة	1
سواء	1
سوداوات	1
سويد	1
سياسة	1
سياقات	1
سيطر	1
سيطرة	1
سينما	1
شأن	1
شائع	1
شارع	1
شاشة	1
شامل	1
شب	1
شرق	1
شريحة	1
شمس	1
شهد	1
شيخ	1
صال	1
صبي	1
صحي	1
صحيح	1
صرف	1
صريح	1
صفيح	1
صناعة	1
صنع	1
صوت	1
صومالي	1
ضحية	1
ضدهم	1
ضرب	1
ضعيف	1
طابع	1
طالب	1
طالما	1
طرف	1
طفل	1
ظلم	1
عائلة	1
عادي	1
عاقب	1
عالم	1
عامل	1
عدم	1
عرس	1
عرض	1
عرف	1
عقار	1
عقد	1
علي	1
عنف	1
عيب	1
عين	1
غجري	1
غني	1
غوص	1
فاصل	1
فانما	1
فانهم	1
فتح	1
فترة	1
فتستمر	1
فرد	1
فصل	1
فضل	1
فعلي	1
فقير	1
فن	1
فيلم	1
قاتل	1
قاسي	1
قاضي	1
قبض	1
قبيلة	1
قتل	1
قرصان	1
قرع	1
قرية	1
قصير	1
قف	1
قناة	1
قوة	1
قيام	1
كابتشينو	1
كاتب	1
كافي	1
كبير	1
كرست	1
كم	1
كي	1
كين	1
لاحظ	1
لحظة	1
لعب	1
لغة	1
لغوي	1
لفظ	1
لكنة	1
للتنمر	1
للميسورين	1
لم	1
لوند	1
ليؤدوا	1
مأسوي	1
مؤسسي	1
مئة	1
ماضي	1
مال	1
مبدأ	1
متجانس	1
متخيل	1
متراكم	1
متساوي	1
متمثل	1
متمرد	1
مثلت	1
مثيل	1
مجنى	1
محاوي	1
محدد	1
محفلي	1
محمد	1
محيط	1
مدرك	1
مدفوع	1
مدلول	1
مدني	1
مرتكب	1
مركز	1
مزود	1
مساح	1
مستحيل	1
مسكين	1
مشرع	1
مشهد	1
مصطلح	1
مصلحة	1
مطعم	1
معادي	1
معاناة	1
معتقد	1
معرفي	1
مقاطعة	1
مقبول	1
مقترح	1
مقدم	1
مقرف	1
مقززين	1
مكتوب	1
ملاحظة	1
ملاحقة	1
ملك	1
مما	1
مماثلة	1
ممنهج	1
مناهض	1
منبوذ	1
منزل	1
منزوي	1
منظور	1
مهم	1
مهمش	1
مهين	1
مواطنة	1
موجود	1
موزع	1
موضوع	1
ميت	1
ناصر	1
ناضج	1
ناقص	1
نال	1
نخب	1
نساء	1
نسب	1
نسمة	1
نص	1
نظر	1
نظرة	1
نفى	1
نقاء	1
نمط	1
نموذج	1
هامش	1
هدف	1
هرم	1
هل	1
هوية	1
هيئة	1
واجه	1
واحد	1
واسع	1
واقع	1
والتجمعات	1
والفنيه	1
وتؤكد	1
وتتجلي	1
وتجمعات	1
وحركوا	1
وراء	1
وسخ	1
وسع	1
وصول	1
وضح	1
وضوح	1
وضيع	1
وطني	1
وظيفة	1
وقت	1
ولادة	1
ولي	1
ومسبباتها	1
وهمي	1
ويتضح	1
ويتم	1
ويسميهم	1
ويطلق	1
ويمارس	1
ويميزهم	1
يؤدون	1
يؤكد	1
يبين	1
يتحول	1
يتسبب	1
يتشكل	1
يتعرض	1
يتعلق	1
يتميز	1
يتميزون	1
يحدد	1
يدل	1
يركز	1
يسهل	1
يشكل	1
يضر	1
يعاقب	1
يمنين	1
