LEMMA	FREQ
شعر	1
شفافية	1
شكري	1
شهامة	1
شهد	1
صالح	1
صلى	1
صنع	1
ضحية	1
ضد	1
ضرب	1
ضمن	1
طائفي	1
طبقي	1
طبيعة	1
طرح	1
طعن	1
طلق	1
ظالم	1
ظاهرة	1
ظلم	1
عادي	1
عبودي	1
عتق	1
عجم	1
عصرنه	1
عظم	1
عقوبة	1
علا	1
علاج	1
علم	1
علو	1
علي	1
عليم	1
عمة	1
عمر	1
عنى	1
عوف	1
عولمة	1
عيان	1
غارق	1
غاضب	1
غزو	1
غفاري	1
فاتحة	1
فار	1
فاستغفروه	1
فاطمة	1
فتح	1
فتنة	1
فرق	1
فرقة	1
فسوق	1
فصل	1
فقير	1
فكر	1
فوق	1
فوقي	1
فيها	1
قائد	1
قائل	1
قاتل	1
قالب	1
قانون	1
قبلي	1
قراب	1
قرشي	1
قريب	1
قول	1
قومي	1
قوى	1
قيادة	1
قيس	1
كأن	1
كافة	1
كبير	1
كتاب	1
كريم	1
كشف	1
كفى	1
كورونا	1
لامساواه	1
لحق	1
لحي	1
لعل	1
لقب	1
لقي	1
للخائنين	1
لن	1
لهم	1
لو	1
لوم	1
مؤته	1
مئة	1
مات	1
مارس	1
مبني	1
متراحم	1
متساند	1
متطرف	1
متعاون	1
متعدد	1
متفشي	1
متكرر	1
مثال	1
مثيل	1
مجيب	1
محور	1
مدرسة	1
مدني	1
مدير	1
مذهبي	1
مراقبة	1
مرحلة	1
مرض	1
مريض	1
مز	1
مزيد	1
مستقبل	1
مسكين	1
مسمى	1
مشاعر	1
مشهد	1
مشيخة	1
مصحف	1
مصلح	1
مظلوم	1
معاناة	1
معلن	1
معنى	1
معين	1
مقام	1
مقدم	1
مقصد	1
مقلى	1
مكتب	1
مكرمة	1
مليون	1
ممكن	1
مناهضة	1
منبع	1
منذ	1
منزلة	1
منطقة	1
منهج	1
منهم	1
منهن	1
مواطنة	1
موالاة	1
موضع	1
ميزة	1
ناضل	1
نال	1
ناهض	1
نبوي	1
نتجه	1
نخوة	1
نداء	1
نسبة	1
نسي	1
نظر	1
نظيرة	1
نعم	1
نموذج	1
ها	1
هدم	1
هكذا	1
هم	1
همز	1
هنا	1
هناك	1
و	1
واستعمركم	1
واضح	1
وانما	1
وتكرر	1
وجه	1
وحدة	1
وداع	1
وطن	1
وعي	1
وعير	1
وقت	1
ولد	1
ويتحدد	1
يتب	1
يتولي	1
يتيم	1
يحتل	1
يسخر	1
يصلون	1
يكن	1
يكونوا	1
يهودي	1
